ROM DataFile Version : 1.1
Anchorz Field¬anchorz¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Sammy¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-SUM004,release:19990624,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Armored Unit¬armrunit¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Sammy¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-SUM003,release:19991118,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Bakusou Dekotora Densetsu for WonderSwan¬bakusodd¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Kaga Tech¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-KGT003,release:19991229,alt_title:  ¬0¬1¬<IPS>¬</IPS>¬¬¬
Beatmania for WonderSwan¬bemaniws¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Konami¬1999¬¬¬¬¬slot:ws_sram,rotated:yes,serial:SWJ-KNM001,release:19990428,alt_title: for ¬0¬1¬<IPS>¬</IPS>¬¬¬
Buffers Evolution¬buffers¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Bandai¬1999¬¬¬¬¬slot:ws_eeprom,serial:SWJ-BAN01B,release:19991209,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Crazy Climber¬cclimber¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Nihon Bussan¬1999¬¬¬¬¬slot:ws_rom,rotated:yes,serial:SWJ-NHB001,release:19990729,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Cardcaptor Sakura - Sakura to Fushigi na Clow Card¬ccsakura¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Bandai¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-BAN01A,release:19991202,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Chaos Gear - Michibikareshi Mono¬chaosgea¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Bandai¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-BAN00B,release:19990610,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Chocobo no Fushigi na Dungeon for WonderSwan¬chocodng¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Bandai¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-BAN002,release:19990304,alt_title: for ¬0¬1¬<IPS>¬</IPS>¬¬¬
Chou Aniki - Otoko no Tamafuda¬choaniki¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Bandai¬2000¬¬¬¬¬slot:ws_sram,serial:SWJ-BAN023,release:20000210,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Chou Denki Card Game - Youfu Makai - Kikuchi Shuukou¬youfumak¬¬¬./qp.exe¬MAME Bandai WonderSwan -SOFTLIST wswan¬Kobunsha¬1999¬¬¬¬¬slot:ws_sram,serial:SWJ-KBS002,release:19991216,alt_title:  ¬0¬1¬<IPS>¬</IPS>¬¬¬
