ROM DataFile Version : 1.1
BASIC (v2.1)¬basic¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Intelligent Software¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC (v1.0)¬basic10¬basic¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Enterprise Computers¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC (v1.1)¬basic11¬basic¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Enterprise Computers¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC (v2.1, Alt)¬basic21¬basic¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Intelligent Software¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
EPDOS (v1.7)¬epdos¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Haluska, Laszlo¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
EX-DOS EPROM¬exdos¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Enterprise Computers¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
EXDos BASIC + FORTH¬exdosbf¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Enterprise Computers¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Forth¬forth¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Enterprise Computers¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HiSoft Pascal Enterprise (v1.01)¬pascal¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬HiSoft¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HP Enterprise (v1.01)¬hp¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬HiSoft¬1985¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Turbo AsMon (v1.5)¬turboasm¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Sandor Gyangy¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Turbo EXDOS+ISDOS¬texisdos¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Zoltan Nemeth¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UELISP (v0.6)¬uelisp¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Enterprise Computers¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZozoTools (v1.8)¬zozotool¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬Zoltan Nemeth¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
brd¬brd¬¬¬./qp.exe¬MAME Enterprise Computers Sixty Four -SOFTLIST ep64_cart¬<unknown>¬198?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
