ROM DataFile Version : 1.1
21$¬21¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ADVENTR$¬adventr¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
AIRFGHT$¬airfght¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZ$¬almaz¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZ2$¬almaz2¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZH$¬almazh¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BOMBER$¬bomber¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BOULDER$¬boulder¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BURAN$¬buran¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CAVE$¬cave¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS$¬chess¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS2$¬chess2¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS3$¬chess3¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS4$¬chess4¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
COPTER$¬copter¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DIGGER$¬digger¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DINAMIT$¬dinamit¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DOLT$¬dolt¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DOWNEAR$¬downear¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DURANT$¬durant¬¬¬./qp.exe¬MAME Orion 128 -SOFTLIST orion_cass¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
