ROM DataFile Version : 1.1
ABPA Backgammon¬backgamm¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1978¬¬¬¬¬slot:intv_rom,serial:1119¬0¬1¬<IPS>¬</IPS>¬¬¬
Advanced Dungeons & Dragons¬add¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1982¬¬¬¬¬slot:intv_rom,serial:3410,alt_title:Advanced Dungeons & Dragons - Cloudy Mountain¬0¬1¬<IPS>¬</IPS>¬¬¬
Advanced Dungeons & Dragons - Treasure of Tarmin¬addtot¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1982¬¬¬¬¬slot:intv_rom,serial:5300¬0¬1¬<IPS>¬</IPS>¬¬¬
Armor Battle¬armorbtl¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1978¬¬¬¬¬slot:intv_rom,serial:1121¬0¬1¬<IPS>¬</IPS>¬¬¬
AstroSmash¬astrosms¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1981¬¬¬¬¬slot:intv_rom,serial:3605¬0¬1¬<IPS>¬</IPS>¬¬¬
AstroSmash Competition¬astrosmsc¬astrosms¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1981¬¬¬¬¬slot:intv_rom¬0¬1¬<IPS>¬</IPS>¬¬¬
AstroSmash - Meteor (Hacked?)¬astrosmsm¬astrosms¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1981¬¬¬¬¬slot:intv_rom¬0¬1¬<IPS>¬</IPS>¬¬¬
Atlantis¬atlantis¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Imagic¬1982¬¬¬¬¬slot:intv_rom,serial:720006¬0¬1¬<IPS>¬</IPS>¬¬¬
Auto Racing¬autorace¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1979¬¬¬¬¬slot:intv_rom,serial:1113¬0¬1¬<IPS>¬</IPS>¬¬¬
B-17 Bomber¬b17bomb¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1981¬¬¬¬¬slot:intv_rom,serial:3884,usage:Uses Intellivoice¬0¬1¬<IPS>¬</IPS>¬¬¬
Major League Baseball¬baseball¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1978¬¬¬¬¬slot:intv_rom,serial:2614¬0¬1¬<IPS>¬</IPS>¬¬¬
NBA Basketball¬basketbl¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Mattel Electronics¬1978¬¬¬¬¬slot:intv_rom,serial:2615¬0¬1¬<IPS>¬</IPS>¬¬¬
Beamrider¬beamridr¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Activision¬1983¬¬¬¬¬slot:intv_rom,serial:M-005-03¬0¬1¬<IPS>¬</IPS>¬¬¬
Beauty & the Beast¬beauty¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Imagic¬1982¬¬¬¬¬slot:intv_rom,serial:720007¬0¬1¬<IPS>¬</IPS>¬¬¬
Blockade Runner¬blockrun¬¬¬./qp.exe¬Retroarch Mattel Intellivision -SOFTLIST intv (MAME)¬Interphase¬1983¬¬¬¬¬slot:intv_rom,serial:8010001¬0¬1¬<IPS>¬</IPS>¬¬¬
