ROM DataFile Version : 1.1
1943 Kai¬1943kai¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1991¬¬¬¬¬serial:NX91002,release:19910322,alt_title:1943¬0¬1¬<IPS>¬</IPS>¬¬¬
21 Emon - Mezase Hotel ou!!¬21emon¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Home Electronics¬1994¬¬¬¬¬serial:HE93003,release:19941216,alt_title:F21 !¬0¬1¬<IPS>¬</IPS>¬¬¬
Adventure Island¬advislnd¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1991¬¬¬¬¬serial:,release:19910419,alt_title:HC91035¬0¬1¬<IPS>¬</IPS>¬¬¬
Aero Blasters¬aeroblst¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1990¬¬¬¬¬serial:HC90038,release:19901102,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
After Burner II¬aburner2¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Avenue¬1990¬¬¬¬¬serial:NAPH-1011,release:19900928,alt_title:II¬0¬1¬<IPS>¬</IPS>¬¬¬
Alien Crush¬acrush¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1988¬¬¬¬¬serial:NX63001,release:19880914,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Ankoku Densetsu¬ankoku¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Victor Interactive Software¬1990¬¬¬¬¬serial:JC63007,release:19900907,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Aoi Blink¬aoiblink¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1990¬¬¬¬¬serial:HC90030,release:19900427,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Appare! Gateball¬appgateb¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1988¬¬¬¬¬serial:HC63013,release:19881222,alt_title:!¬0¬1¬<IPS>¬</IPS>¬¬¬
Armed Formation F¬armedf¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Pack-In-Video¬1990¬¬¬¬¬serial:PV-2004,release:19900323,alt_title:FORMATION F¬0¬1¬<IPS>¬</IPS>¬¬¬
Artist Tool¬arttool¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Home Electronics¬1990¬¬¬¬¬serial:PI-AS1,release:19890929,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Atomic Robo-kid Special¬atomrobo¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬UPL¬1990¬¬¬¬¬serial:UP01001,release:19900119,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
AV Poker¬avpoker¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Games Express¬1992¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Ballistix¬ballistx¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Coconuts Japan¬1991¬¬¬¬¬serial:CJ0001,release:19911213,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Bari Bari Densetsu¬baribari¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Taito¬1989¬¬¬¬¬serial:TP01003,release:19891129,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Barunba¬barunba¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1990¬¬¬¬¬serial:NC90003,release:19900427,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Batman¬batman¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Sunsoft¬1990¬¬¬¬¬serial:SS90003,release:19901012,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Battle Lode Runner¬batloder¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1993¬¬¬¬¬serial:HC93054,release:19930210,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Be Ball¬beball¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1990¬¬¬¬¬serial:HC90028,release:19900330,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Benkei Gaiden¬benkei¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Sunsoft¬1989¬¬¬¬¬serial:SS89002,release:19891222,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Benkei Gaiden (Alt)¬benkei1¬benkei¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Sunsoft¬1989¬¬¬¬¬serial:SS89002,release:19891222,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Bikkuriman World¬bikkuri¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1987¬¬¬¬¬serial:HC62002,release:19871030,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Bikkuriman World (Alt)¬bikkuri1¬bikkuri¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1987¬¬¬¬¬serial:HC62002,release:19871030,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Blodia¬blodia¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1990¬¬¬¬¬serial:,release:19900223,alt_title:HC90027¬0¬1¬<IPS>¬</IPS>¬¬¬
Body Conquest II¬bodycon2¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Games Express¬1993¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomberman '93¬bombmn93¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1992¬¬¬¬¬serial:HC92061,release:19921211,alt_title:'93¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomberman '93 (Special Version)¬bombmn93s¬bombmn93¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1992¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomberman '94¬bombmn94¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1993¬¬¬¬¬serial:HC93065,release:19931210,alt_title:'94¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomberman¬bombman¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1990¬¬¬¬¬serial:HC90036,release:19901207,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Bomberman - Users Battle¬bombmnub¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Bouken Danshaku Don - The Lost Sunheart¬lostsunh¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬IMax¬1992¬¬¬¬¬serial:IM92001,release:19920104,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Break In¬breakin¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1989¬¬¬¬¬serial:NX89002,release:19890810,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Bubblegum Crash! - Knight Sabers 2034¬bubblegm¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1991¬¬¬¬¬serial:NX91005,release:19911206,alt_title:!¬0¬1¬<IPS>¬</IPS>¬¬¬
Bull Fight - Ring no Haja¬bullfght¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Cream¬1989¬¬¬¬¬serial:CC-01001,release:19891208,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Burning Angels¬burnangl¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1990¬¬¬¬¬serial:NX90008,release:19901207,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Busou Keiji - Cyber Cross¬cyberx¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Face¬1989¬¬¬¬¬serial:FA01-002,release:19890623,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Cadash¬cadash¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Taito¬1991¬¬¬¬¬serial:TP02015,release:19910118,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Champion Wrestler¬champwrs¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Taito¬1990¬¬¬¬¬serial:TP02014,release:19901214,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Chibi Maruko Chan - Quiz de Piihyara¬chibim¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1992¬¬¬¬¬serial:NC92001,release:19920110,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Chikudenya Toubei - Kubikiri Yakata Yori¬chikuden¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1990¬¬¬¬¬serial:NX89004,release:19900126,alt_title:  BIT2¬0¬1¬<IPS>¬</IPS>¬¬¬
Chikudenya Toubei - Kubikiri Yakata Yori (Alt)¬chikuden1¬chikuden¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1990¬¬¬¬¬serial:NX89004,release:19900126,alt_title:  BIT2¬0¬1¬<IPS>¬</IPS>¬¬¬
Chouzetsu Rinjin - Bravoman¬bravoman¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1990¬¬¬¬¬serial:NC90005,release:19900713,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Circus Lido¬circusld¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Yuni Post¬1991¬¬¬¬¬serial:PJ91001,release:19910406,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
City Hunter¬cityhunt¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Sunsoft¬1990¬¬¬¬¬serial:SS90001,release:19900302,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Columns¬columns¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Nihon Telenet¬1991¬¬¬¬¬serial:TJ03002,release:19910329,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Coryoon - Child of Dragon¬coryoon¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1991¬¬¬¬¬serial:NX91004,release:19911129,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Coryoon - Child of Dragon (Alt)¬coryoon1¬coryoon¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1991¬¬¬¬¬serial:NX91004,release:19911129,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Cross Wiber - Cyber Combat Police¬xwiber¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Face¬1990¬¬¬¬¬serial:FA02-008,release:19901221,alt_title: CYBER-COMBAT-POLICE¬0¬1¬<IPS>¬</IPS>¬¬¬
Cyber Core¬cybrcore¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬IGS¬1990¬¬¬¬¬serial:AI-02001,release:19900309,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Cyber Dodge¬cyberdod¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Tonkin House¬1992¬¬¬¬¬serial:TON92005,release:19920131,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Cyber Knight¬cyknight¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Tonkin House¬1990¬¬¬¬¬serial:TON90003,release:19901012,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Dai Senpu¬daisenpu¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Avenue¬1990¬¬¬¬¬serial:NAPH-1014,release:19901214,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Daichi Kun Crisis - Do Natural¬donaturl¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Salio¬1989¬¬¬¬¬serial:SL01001,release:19891122,alt_title: DO NATURAL¬0¬1¬<IPS>¬</IPS>¬¬¬
Darius Alpha¬dariusa¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Avenue¬1990¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Darius Plus¬dariusp¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Avenue¬1990¬¬¬¬¬serial:NAPH-1009,release:19900921,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Dead Moon - Tsuki Sekai no Akumu¬deadmoon¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬B.S.S.¬1990¬¬¬¬¬serial:TS91001,release:19910222,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Deep Blue - Kaitei Shinwa¬deepblue¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Pack-In-Video¬1989¬¬¬¬¬serial:PV1002,release:19890331,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Detana!! Twinbee¬twinbee¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Konami¬1992¬¬¬¬¬serial:KM92004,release:19920228,alt_title:!!¬0¬1¬<IPS>¬</IPS>¬¬¬
Devil Crash - Naxat Pinball¬devlcrsh¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1990¬¬¬¬¬serial:NX90004,release:19900720,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Die Hard¬diehard¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Pack-In-Video¬1990¬¬¬¬¬serial:NB90003,release:19900928,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Digital Champ¬digichmp¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Naxat¬1989¬¬¬¬¬serial:NX89003,release:19891013,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Don Doko Don!¬dondoko¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Taito¬1990¬¬¬¬¬serial:TP02010,release:19900531,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Doraemon - Meikyuu Dai Sakusen¬dorams¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1989¬¬¬¬¬serial:HC89023,release:19891031,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Doraemon - Nobita no Dorabian Night¬dorandn¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1991¬¬¬¬¬serial:HC91051,release:19911206,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Double Dungeons - W¬ddungw¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NCS¬1989¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Download¬download¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Avenue¬1990¬¬¬¬¬serial:NAPH-1007,release:19900622,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Download (Alt)¬download1¬download¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC Avenue¬1990¬¬¬¬¬serial:NAPH-1007,release:19900622,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Dragon Egg!¬dragnegg¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Masiya¬1991¬¬¬¬¬serial:NCS91003,release:19910927,alt_title:EGG!¬0¬1¬<IPS>¬</IPS>¬¬¬
Dragon Saber - After Story of Dragon Spirit¬dsaber¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1991¬¬¬¬¬serial:NC91005,release:19911227,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Dragon Saber - After Story of Dragon Spirit (Alt)¬dsaber1¬dsaber¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1991¬¬¬¬¬serial:NC91005,release:19911227,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Dragon Spirit¬dspirit¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1988¬¬¬¬¬serial:NC63003,release:19881216,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Drop Rock Hora Hora¬droprock¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Data East¬1990¬¬¬¬¬serial:DE90005,release:19900330,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Drop Rock Hora Hora (Alt)¬droprock1¬droprock¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Data East¬1990¬¬¬¬¬serial:DE90005,release:19900330,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Dungeon Explorer¬dungexpl¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1989¬¬¬¬¬serial:HC63015,release:19890304,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Energy¬energy¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NCS¬1989¬¬¬¬¬serial:NCS89005,release:19890419,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
F-1 Dream¬f1dream¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC¬1989¬¬¬¬¬serial:H54G-1005,release:19890825,alt_title:F-1¬0¬1¬<IPS>¬</IPS>¬¬¬
F-1 Pilot - You're King of Kings¬f1pilot¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Pack-In-Video¬1989¬¬¬¬¬serial:PV1001,release:19890323,alt_title:F1 YOU'RE KING OF KINGS¬0¬1¬<IPS>¬</IPS>¬¬¬
F1 Circus '91 - World Championship¬f1circ91¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Nihon Bussan¬1991¬¬¬¬¬serial:NB91004,release:19910712,alt_title:'91 ¬0¬1¬<IPS>¬</IPS>¬¬¬
F1 Circus '92 - The Speed of Sound¬f1circ92¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Nihon Bussan¬1992¬¬¬¬¬serial:NB92007,release:19921218,alt_title:'92 ¬0¬1¬<IPS>¬</IPS>¬¬¬
F1 Circus¬f1circus¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Nihon Bussan¬1990¬¬¬¬¬serial:NB90002,release:19900914,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
F1 Circus (Alt)¬f1circus1¬f1circus¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Nihon Bussan¬1990¬¬¬¬¬serial:NB90002,release:19900914,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
F1 Triple Battle¬f1tb¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1989¬¬¬¬¬serial:HM89002,release:19891223,alt_title:F1¬0¬1¬<IPS>¬</IPS>¬¬¬
Fantasy Zone¬fantzone¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬NEC¬1988¬¬¬¬¬serial:H49G-1001,release:19881014,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Fighting Run¬fightrun¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Nihon Bussan¬1991¬¬¬¬¬serial:NB91005,release:19911129,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Final Blaster¬finlblst¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1990¬¬¬¬¬serial:NC90007,release:19900928,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Final Lap Twin¬finallap¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Namcot¬1989¬¬¬¬¬serial:NC89003,release:19890707,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Final Match Tennis¬finalmt¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1991¬¬¬¬¬serial:HM91004,release:19910301,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Final Soldier¬finalsol¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬1991¬¬¬¬¬serial:HC91045,release:19910705,alt_title:¬0¬1¬<IPS>¬</IPS>¬¬¬
Final Soldier (Special Version)¬finalsols¬finalsol¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Hudson¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Fire Pro Wrestling - Combination Tag¬fireprow¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1989¬¬¬¬¬serial:HM89001,release:19890622,alt_title: ¬0¬1¬<IPS>¬</IPS>¬¬¬
Fire Pro Wrestling 2 - 2nd Bout¬fireprw2¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1991¬¬¬¬¬serial:HM91005,release:19910830,alt_title: 2nd BOUT¬0¬1¬<IPS>¬</IPS>¬¬¬
Fire Pro Wrestling 3 - Legend Bout¬fireprw3¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1992¬¬¬¬¬serial:HM92006,release:19921113,alt_title:3 Legend Bout¬0¬1¬<IPS>¬</IPS>¬¬¬
Formation Soccer - Human Cup '90¬fsoccr90¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1990¬¬¬¬¬serial:HM90003,release:19900427,alt_title: '90¬0¬1¬<IPS>¬</IPS>¬¬¬
Formation Soccer - On J. League¬fsoccer¬¬¬./qp.exe¬Retroarch NEC PC Engine -SOFTLIST pce (MAME)¬Human¬1994¬¬¬¬¬serial:HM94007,release:19940115,alt_title:J¬0¬1¬<IPS>¬</IPS>¬¬¬
