ROM DataFile Version : 1.1
21$¬21¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ADVENTR$¬adventr¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
AIRFGHT$¬airfght¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZ$¬almaz¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZ2$¬almaz2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZH$¬almazh¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BOMBER$¬bomber¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BOULDER$¬boulder¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BURAN$¬buran¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CAVE$¬cave¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS$¬chess¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS2$¬chess2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS3$¬chess3¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS4$¬chess4¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
COPTER$¬copter¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DIGGER$¬digger¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DINAMIT$¬dinamit¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DOLT$¬dolt¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DOWNEAR$¬downear¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DURANT$¬durant¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
FAETON$¬faeton¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
FISHER$¬fisher¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GRAN$¬gran¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
HANDICR$¬handicr¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
JET-SET$¬jetset¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KLAD$¬klad¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KORT$¬kort¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KREST1$¬krest1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KREST2$¬krest2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KROT$¬krot¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
KZNVA$¬kznva¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
