ROM DataFile Version : 1.1
5200 Menu (Prototype)¬5200menu¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1983¬¬¬¬¬slot:a5200¬0¬1¬<IPS>¬</IPS>¬¬¬
A.E. (Prototype)¬aep¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Brderbund Software Inc¬1982¬¬¬¬¬slot:a5200¬0¬1¬<IPS>¬</IPS>¬¬¬
The Activision Decathlon¬decathln¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Activision¬1983¬¬¬¬¬slot:a5200,serial:FC-008¬0¬1¬<IPS>¬</IPS>¬¬¬
Asteroids (Prototype)¬asteroid¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1982¬¬¬¬¬slot:a5200,serial:CX5201¬0¬1¬<IPS>¬</IPS>¬¬¬
Astro Chase¬achase¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Parker Brothers¬1984¬¬¬¬¬slot:a5200_2chips,serial:9560¬0¬1¬<IPS>¬</IPS>¬¬¬
Ballblazer¬ballblaz¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari / Lucasfilm¬1986¬¬¬¬¬slot:a5200,serial:CX5255¬0¬1¬<IPS>¬</IPS>¬¬¬
Barroom Baseball (Prototype)¬barbball¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1983¬¬¬¬¬slot:a5200¬0¬1¬<IPS>¬</IPS>¬¬¬
Battlezone (Prototype)¬bzone¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1983¬¬¬¬¬slot:a5200_2chips,serial:CX5239¬0¬1¬<IPS>¬</IPS>¬¬¬
Beamrider¬beamridr¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Activision¬1983¬¬¬¬¬slot:a5200,serial:FZ-009¬0¬1¬<IPS>¬</IPS>¬¬¬
Berzerk¬berzerk¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1983¬¬¬¬¬slot:a5200,serial:CX5221¬0¬1¬<IPS>¬</IPS>¬¬¬
Black Belt (Prototype)¬blckbelt¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1983¬¬¬¬¬slot:a5200,serial:CX5231¬0¬1¬<IPS>¬</IPS>¬¬¬
Blaster (Prototype)¬blaster¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1984¬¬¬¬¬slot:a5200¬0¬1¬<IPS>¬</IPS>¬¬¬
Blue-Print¬blueprnt¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬CBS Electronics / Bally Midway MFG. Co.¬1982¬¬¬¬¬slot:a5200,serial:80033¬0¬1¬<IPS>¬</IPS>¬¬¬
Bounty Bob Strikes Back!¬bbsb¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Big Five Software¬1984¬¬¬¬¬slot:a5200_bbsb¬0¬1¬<IPS>¬</IPS>¬¬¬
Buck Rogers - Planet of Zoom¬buckrog¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Sega¬1983¬¬¬¬¬slot:a5200_2chips,serial:005-02¬0¬1¬<IPS>¬</IPS>¬¬¬
Centipede¬centiped¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1982¬¬¬¬¬slot:a5200_2chips,peripheral:trackball,serial:CX5212¬0¬1¬<IPS>¬</IPS>¬¬¬
Choplifter!¬choplift¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1984¬¬¬¬¬slot:a5200,serial:CX5253¬0¬1¬<IPS>¬</IPS>¬¬¬
Congo Bongo¬congo¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Sega¬1983¬¬¬¬¬slot:a5200_2chips,serial:006-02¬0¬1¬<IPS>¬</IPS>¬¬¬
Countermeasure¬cntrmsre¬¬¬./qp.exe¬MAME Atari 5200 -SOFTLIST a5200¬Atari¬1982¬¬¬¬¬slot:a5200_2chips,serial:CX5210¬0¬1¬<IPS>¬</IPS>¬¬¬
