ROM DataFile Version : 1.1
Democart 1¬democrt1¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:std,series:Democart 1¬0¬1¬<IPS>¬</IPS>¬¬¬
Democart 2¬democrt2¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬197?¬¬¬¬¬slot:std,series:Democart 2¬0¬1¬<IPS>¬</IPS>¬¬¬
Tic-Tac-Toe / Shooting Gallery / Doodle / Quadra-Doodle¬tctactoe¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1976¬¬¬¬¬slot:std,series:Videocart 1¬0¬1¬<IPS>¬</IPS>¬¬¬
Muehle / Tontauben-Schiessen / Kreatives Malspiel / Videoscope (Ger)¬muehle¬tctactoe¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬SABA¬1978¬¬¬¬¬slot:std,series:Videocart 1¬0¬1¬<IPS>¬</IPS>¬¬¬
Desert Fox / Shooting Gallery¬dsrtfox¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1976¬¬¬¬¬slot:std,series:Videocart 2¬0¬1¬<IPS>¬</IPS>¬¬¬
Video Blackjack¬vblckjck¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1976¬¬¬¬¬slot:std,series:Videocart 3¬0¬1¬<IPS>¬</IPS>¬¬¬
Spitfire¬spitfire¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1976¬¬¬¬¬slot:std,series:Videocart 4¬0¬1¬<IPS>¬</IPS>¬¬¬
Spitfire (Prototype)¬spitfirep¬spitfire¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1976¬¬¬¬¬slot:std¬0¬1¬<IPS>¬</IPS>¬¬¬
Space War¬spacewar¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:std,series:Videocart 5¬0¬1¬<IPS>¬</IPS>¬¬¬
Math Quiz 1¬mthquiz1¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1976¬¬¬¬¬slot:std,series:Videocart 6¬0¬1¬<IPS>¬</IPS>¬¬¬
Math Quiz 2¬mthquiz2¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:std,series:Videocart 7¬0¬1¬<IPS>¬</IPS>¬¬¬
Magic Numbers / Mind Reader / Nim¬magicnum¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:std,series:Videocart 8¬0¬1¬<IPS>¬</IPS>¬¬¬
Drag Race¬dragrace¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:std,series:Videocart 9¬0¬1¬<IPS>¬</IPS>¬¬¬
Maze / Jailbreak / Blind-man's-bluff / Trailblazer¬maze¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:maze,series:Videocart 10¬0¬1¬<IPS>¬</IPS>¬¬¬
Maze / Jailbreak / Blind-man's-bluff / Trailblazer (Alt)¬mazea¬maze¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:maze,series:Videocart 10¬0¬1¬<IPS>¬</IPS>¬¬¬
Backgammon / Acey-Deucey¬backgamm¬¬¬./qp.exe¬MAME Fairchild Channel F -SOFTLIST channelf¬Fairchild¬1977¬¬¬¬¬slot:std,series:Videocart 11¬0¬1¬<IPS>¬</IPS>¬¬¬
