ROM DataFile Version : 1.1
DISK01P¬disk01p¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CORONA__P4¬corona¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRO_ROM_100__PRO_V100¬prorom¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRO_Soft__P3¬prosoft¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRO_TP30__P02¬protp30¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRO_TP30_Doc__P2¬protp30d¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRODOS_101__P1¬prodos1¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRODOS_200__PRODOS20¬prodos2¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UTILS_CPM__DISK01P¬cpmutil¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PRODOS20¬prodos20¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Text & Pics__31¬textpic1¬¬¬./qp.exe¬MAME Orion Pro -SOFTLIST orionpro_flop¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
