ROM DataFile Version : 1.1
Bust-A-Move (USA) ~ Puzzle Bobble (Jpn)¬pbobble¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1995¬¬¬¬¬alt_title:,serial:NGCD-083 (JPN),release:19950502 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
League Bowling (Jpn, USA)¬lbowling¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (US) -SOFTLIST neocd¬SNK¬1994¬¬¬¬¬alt_title:,serial:NGCD-019 (JPN),release:19940909 (JPN)¬0¬1¬<IPS>¬</IPS>¬¬¬
Crossed Swords II (Jpn)¬crsword2¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬ADK¬1995¬¬¬¬¬alt_title:II,serial:ADCD-102,release:19950502¬0¬1¬<IPS>¬</IPS>¬¬¬
Oshidashi Zintrick (Jpn)¬zintrick¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬ADK¬1996¬¬¬¬¬alt_title:,serial:ADCD-104,release:19960322¬0¬1¬<IPS>¬</IPS>¬¬¬
Idol Mahjong Final Romance 2 (Jpn)¬fromanc2¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬Video System¬1995¬¬¬¬¬alt_title: 2,serial:NGCD-098,release:19950825¬0¬1¬<IPS>¬</IPS>¬¬¬
Last Hope (Euro)¬lasthope¬¬¬./qp.exe¬MAME Last Hope (Euro)¬NG:DEV.TEAM¬2007¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Choutetsu Brikin'ger (Jpn)¬ironclad¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬Saurus¬1996¬¬¬¬¬alt_title:,serial:NGCD-220,release:19960920¬0¬1¬<IPS>¬</IPS>¬¬¬
Neo Geo CD Special (Jpn)¬ngcdspec¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬SNK¬1996¬¬¬¬¬serial:NGCD-205,release:19951222¬0¬1¬<IPS>¬</IPS>¬¬¬
The King of Fighters '96 NEOGEO Collection (Jpn)¬kof96col¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬SNK¬1997¬¬¬¬¬alt_title: '96 ,serial:NGCD-229,release:19970214¬0¬1¬<IPS>¬</IPS>¬¬¬
Rally Chase (Jpn)¬trally¬¬¬./qp.exe¬MAME SNK Neo-Geo CDZ (Japan) -SOFTLIST neocd¬ADK¬1994¬¬¬¬¬alt_title:,serial:ADCD-003,release:19941031¬0¬1¬<IPS>¬</IPS>¬¬¬
