ROM DataFile Version : 1.1
A.P.B. (Euro, USA)¬apb¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1991¬¬¬¬¬serial:PA2042¬0¬1¬<IPS>¬</IPS>¬¬¬
Alien vs Predator (USA, Prototype)¬avsp¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬199?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Awesome Golf (Euro, USA)¬awesomeg¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1991¬¬¬¬¬serial:PA2049¬0¬1¬<IPS>¬</IPS>¬¬¬
Baseball Heroes (Euro, USA)¬bbheroes¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2050¬0¬1¬<IPS>¬</IPS>¬¬¬
Basketbrawl (Euro, USA)¬bsktbrwl¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2034¬0¬1¬<IPS>¬</IPS>¬¬¬
Batman Returns (Euro, USA)¬batmanrn¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2101¬0¬1¬<IPS>¬</IPS>¬¬¬
Battle Wheels (Euro, USA)¬bwheels¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Beyond Games¬1993¬¬¬¬¬serial:PT5006¬0¬1¬<IPS>¬</IPS>¬¬¬
Battlezone 2000 (Euro, USA)¬bzone2k¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1995¬¬¬¬¬serial:PA2088¬0¬1¬<IPS>¬</IPS>¬¬¬
Bill & Ted's Excellent Adventure (Euro, USA)¬billted¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1991¬¬¬¬¬serial:PA2068¬0¬1¬<IPS>¬</IPS>¬¬¬
Block Out (Euro, USA)¬blockout¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1991¬¬¬¬¬serial:PA2056¬0¬1¬<IPS>¬</IPS>¬¬¬
Blue Lightning (USA, Demo)¬bluelghtd¬bluelght¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1989¬¬¬¬¬serial:PA2054¬0¬1¬<IPS>¬</IPS>¬¬¬
Blue Lightning (Euro, USA)¬bluelght¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1989¬¬¬¬¬serial:PA2020¬0¬1¬<IPS>¬</IPS>¬¬¬
Bubble Trouble (Euro, USA)¬bubtroub¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Telegames¬1994¬¬¬¬¬serial:LX216¬0¬1¬<IPS>¬</IPS>¬¬¬
California Games (Euro, USA)¬calgames¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1989¬¬¬¬¬serial:PA2025¬0¬1¬<IPS>¬</IPS>¬¬¬
Centipede (USA, Prototype)¬centiped¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Shadowsoft¬199?¬¬¬¬¬rotation:LEFT¬0¬1¬<IPS>¬</IPS>¬¬¬
Checkered Flag (Euro, USA)¬chekflag¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1991¬¬¬¬¬serial:PA2053¬0¬1¬<IPS>¬</IPS>¬¬¬
Chip's Challenge (Euro, USA)¬chipchal¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1989¬¬¬¬¬serial:PA2028¬0¬1¬<IPS>¬</IPS>¬¬¬
Crystal Mines II (Euro, USA)¬cmines2¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2105¬0¬1¬<IPS>¬</IPS>¬¬¬
Daemonsgate (USA, Prototype)¬daemongt¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬199?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Desert Strike - Return to the Gulf (Euro, USA)¬dstrike¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Telegames¬1993¬¬¬¬¬serial:L071¬0¬1¬<IPS>¬</IPS>¬¬¬
Dinolympics (Euro, USA)¬dinolymp¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2089¬0¬1¬<IPS>¬</IPS>¬¬¬
Dirty Larry - Renegade Cop (Euro, USA)¬dirtylar¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2077¬0¬1¬<IPS>¬</IPS>¬¬¬
Double Dragon (Euro, USA)¬ddragon¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Telegames¬1993¬¬¬¬¬serial:L070¬0¬1¬<IPS>¬</IPS>¬¬¬
Dracula the Undead (Euro, USA)¬dracula¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1992¬¬¬¬¬serial:PA2087¬0¬1¬<IPS>¬</IPS>¬¬¬
Electrocop (Euro, USA)¬electroc¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Atari¬1989¬¬¬¬¬serial:PA2021¬0¬1¬<IPS>¬</IPS>¬¬¬
European Soccer Challenge (Euro, USA)¬eurosocc¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Telegames¬1993¬¬¬¬¬serial:LX106¬0¬1¬<IPS>¬</IPS>¬¬¬
Eye of the Beholder (USA, Prototype)¬eyebehol¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬NuFX¬199?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Fat Bobby (Euro, USA)¬fatbobby¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Telegames¬199?¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
The Fidelity Ultimate Chess Challenge (Euro, USA)¬fidelity¬¬¬./qp.exe¬Retroarch Atari Lynx -SOFTLIST lynx (MAME)¬Telegames¬1991¬¬¬¬¬serial:LX101¬0¬1¬<IPS>¬</IPS>¬¬¬
