ROM DataFile Version : 1.1
DISK1¬disk1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DISK2¬disk2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DISK4¬disk4¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Disk_03¬prog3¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DIsk_10¬prog10¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
COM-AY¬comay¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CPM370¬cpm370¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
disk_1¬progd1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Disk10¬progd10¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Program Disk11¬progd11¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Disk12¬progd12¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Disk13¬progd13¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Disk15¬progd15¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
