ROM DataFile Version : 1.1
ADSKOK¬adskok¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ADVENTUR¬adventur¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ALMAZ¬almaz¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ARCANOID¬arcanoid¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BALL¬ball¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BKT¬bkt¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BUDI¬budi¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BUDI2¬budi2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BURAN¬buran¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CAT¬cat¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHECKERS¬checkers¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS¬chess¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS2¬chess2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS3¬chess3¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CHESS4¬chess4¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CIRCUS¬circus¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
COOKY¬cooky¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
